CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2012-07-01 00:00,81.2333090393942,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2012-08-01 00:00,83.4616988322137,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2012-09-01 00:00,83.7458675789977,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2012-10-01 00:00,87.9995463247161,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2013-02-01 00:00,85.1097130069758,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2013-03-01 00:00,87.2100911185591,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2013-04-01 00:00,86.4821055381402,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2013-05-01 00:00,88.3613636363635,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2013-06-01 00:00,85.855246544391,4,,900
24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],6.823390,-73.472060,1093,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,San Vicente De Chucurí,25/10/2004 00:00,,HUM RELATIVA,HRA10_MEDIA_M,Humedad relativa del aire a 10 cm media mensual,Mensual,2013-07-01 00:00,80.6243279569894,4,,900
