CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-04-01 00:00,386.6,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-05-01 00:00,612.8,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-06-01 00:00,231.5,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-07-01 00:00,366,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-08-01 00:00,551.4,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-09-01 00:00,347.9,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-10-01 00:00,247.1,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-11-01 00:00,610.9,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2008-12-01 00:00,129.8,50,,900
23155030,AEROPUERTO YARIGUIES AUT [23155030],7.0263888890,-73.80861111,126,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Barrancabermeja,15/07/1931 00:00,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2009-01-01 00:00,90.6,50,,900
